Index,Tick,X1,Y1,X2,Y2,Score
131,3000,221.939577479644,166.028480458491,204.783334461784,129.630771366498,0.010986328125
131,3000,239.203991420989,44.4739039212164,167.681720371665,75.2605867286975,0.0400390625
131,3000,219.629279006636,52.1441055302031,220.049530053158,59.0577748187219,0.001220703125
131,3000,230.868975490335,146.147088147739,210.716585940422,128.195560441769,0.01123046875
131,3000,239.966415578208,144.725264756462,225.227874426751,138.463632415163,0.006103515625
131,3000,190.88873654766,152.896723158256,190.410907213118,158.038188243419,0.0029296875
131,3000,239.1486287154,160.09319657038,100.983393087565,178.877852542357,0.072021484375
131,3000,210.701792397069,138.052462324385,172.842302369261,140.912469928399,0.0325927734375
131,3000,173,25,171,25,0.000732421875
131,3000,223.24187964672,140.959564012156,225.11236047405,152.148390249315,0.005126953125
131,3000,140.95273333524,43.3036256692268,39.0862970461449,27.4456558650565,0.0467529296875
131,3000,155.302308779719,36.9231402799981,157.095381439245,43.9757499907196,0.00390625
131,3000,157.737625310076,37.4607606539246,145.280771508676,43.5218227358244,0.0037841796875
131,3000,165.724330120517,42.1060112896836,165.10923388846,46.3087026183593,0.0035400390625
131,3000,158.843063094114,41.1598306357659,162.370132581714,44.6230426137237,0.00341796875
131,3000,192.859332580842,135.485913985406,207.819924641993,136.902192380379,0.0028076171875
131,3000,198.935757342618,138.329125338686,192.192668655157,137.012927874299,0.002685546875
131,3000,150.088527628904,39.1822650147776,141.08578144461,38.2076316827982,0.005615234375
131,3000,181.754333650463,48.1270693708809,180.516054631274,45.7330739946281,0.00244140625
131,3000,232.778964362451,126.617371521822,205.733415057525,129.126377977607,0.0125732421875
131,3000,84,32,87,34,0.0010986328125
131,3000,161,38,163,39,0.000732421875
131,3000,194.654443990126,152.953048072009,193.702442876895,159.959569852012,0.00244140625
131,3000,136,7.00000000000001,137,10,0.0010986328125
131,3000,94.5037230138689,19.9210418340169,93.5618009809563,13.9119381606905,0.0008544921875
131,3000,198,32,194,31,0.0006103515625
131,3000,130,2,131,4,0.0009765625
131,3000,180.14317073067,37.5129228246335,171.016839842868,40.0603303463636,0.001220703125
131,3000,207,34,204,36,0.0008544921875
131,3000,180.071551804386,48.9362635680957,176.315160778951,44.7192632149673,0.00439453125
131,3000,153.037800927432,81.681545145346,119.041995583304,77.6462071624776,0.0113525390625
131,3000,143.562235284948,13.1292635297964,144.728832847801,17.0800704626318,0.000732421875
131,3000,214,44,216,45,0.0006103515625
131,3000,185.416161374782,58.2924286715341,190.823554181965,69.088376845822,0.0035400390625
131,3000,178.982767965919,65.989976774312,183.723713175404,57.8392943523379,0.0025634765625
131,3000,142.660144864521,39.3500988330332,133.95022190841,43.9048099132932,0.0040283203125
131,3000,238,29,239,29,0.000732421875
131,3000,185,23,183,25,0.0008544921875
131,3000,180,141,206,141,0.00341796875
131,3000,182,43,183,44,0.0013427734375
131,3000,176.174264453425,45.3073174312517,163.001668552501,41.9933676822203,0.0064697265625
131,3000,136,17,137,19,0.0009765625
131,3000,73,9,75,9.99999999999999,0.0006103515625
131,3000,235.90302753922,163.05442298806,225.825474967718,145.097947125109,0.004638671875
131,3000,175,29,174,31,0.0009765625
131,3000,185,38,182,40,0.0006103515625
131,3000,97,13,100,13,0.0009765625
131,3000,81.1946707829567,1.24613462610871,76.1725613633445,5.21818028366916,0.0006103515625
131,3000,99.6571370140822,76.4022764824882,108.266164158056,71.4640121078189,0.0035400390625
131,3000,119,39,117,36,0.0010986328125
131,3000,138,0,140,0,0.000732421875
131,3000,218.253298484161,13.2141663486384,214.120608117349,18.1019753442044,0.0010986328125
131,3000,67,21,73,21,0.000732421875
131,3000,131,29,129,27,0.0006103515625
131,3000,94.4805465577691,9.0827434751392,93.679062131834,4.0511220301126,0.0010986328125
131,3000,228.806244628013,46.8918028882158,223.786584364838,55.8808241800093,0.0009765625
131,3000,196,43,197,45,0.0006103515625
