Index,Tick,X1,Y1,X2,Y2,Score,Status
117,3008,20,4,20,12,0.5625,4
117,3008,61.137199053474781,4,61.27751170108526,12,0.4100931785494375,4
117,3008,97.391517290591494,12,98.825009075506443,4,0.37681100829404973,4
117,3008,119.81095237141275,4,122.68755954046138,12,0.264660337577447,4
117,3008,164,10.368345960781905,172,10.9,0.43653707894997479,4
117,3008,212.03953040815992,4,216.54542060798877,12,0.24505348520246445,4
117,3008,225.69999999999985,12,226.52883316916225,4,0.34969075071874994,4
117,3008,20.603209513385025,20,21.741134784739454,12,0.4022016215087682,4
117,3008,76,17.996864556801139,79.232982742491416,12,0.24769466557750375,2
117,3008,148,15.927997566567916,155.58778094249118,12,0.33282759103365439,4
117,3008,188,18.273364170456368,196,18.736506690037675,0.43676868010176079,4
117,3008,226.56298785355125,12,226.91840082476412,20,0.38243527507057851,4
117,3008,24.400000000000006,28,28,20,0.51295584666099758,4
117,3008,36,26.30957742992257,44,16.31292438208424,0.28556343313061855,4
117,3008,114.50868140715896,28,115.1394003644649,20,0.43614661608446287,4
117,3008,162.13252718271406,20,163.71082275258581,28,0.20694850527683328,4
117,3008,180,22.05802460208799,188,27.408307139790384,0.20456212852331598,4
117,3008,204,26.899999999999999,212,24.400000000000006,0.26844749382235217,4
117,3008,39.300000000000004,20,39.599999999999994,36,0.21871155798734315,4
117,3008,64.932479095552821,36,67.801327067839949,28,0.25738805399512898,4
117,3008,80.728571813802404,36,82.384975105895805,28,0.20655643707886179,4
117,3008,93.398288583194685,36,94.998098788824095,28,0.29877203765383076,4
117,3008,156,36.675074431530696,164,32.819346785371394,0.21113226879565533,4
117,3008,164,33.564041465465806,172,32.047896573425703,0.20724844964002037,4
117,3008,172,34.400000000000006,180,30,0.21905397716916172,4
117,3008,216.69327452327715,28,216.8721206156458,36,0.34366413248454353,4
117,3008,233.49999999999997,36,234.47695366507926,28,0.35284746180017945,4
117,3008,14.58827734424667,36,17.981881481760425,44,0.25172537356182961,4
117,3008,26.000000000000011,44,27.520595536485427,36,0.42980482916530327,4
117,3008,32.479153668891755,44,32.738762060610242,36,0.28110202880767127,4
117,3008,84.839159960695952,44,85.784832943809491,36,0.41895802135056454,4
117,3008,164,38.407538489444732,172,43.552668297381324,0.26283430428940469,4
117,3008,180,41.244226591382507,188,40.516629356177944,0.34233703739508059,4
117,3008,213.09999999999999,44,215.45075169455697,36,0.29982392271381392,4
117,3008,232.39999999999998,44,233.20681120134111,36,0.49747648256864396,4
117,3008,23.297129111377025,52,24.541849188265104,44,0.24316801467120766,4
117,3008,42.543580369694453,52,42.625076148158975,44,0.21092655589502429,4
