Index,Tick,X1,Y1,X2,Y2,Score,Status
115,3021,112.70000000000002,4,117.41454422227547,12,0.2019202229630101,4
115,3021,148,9.7312381104950951,156,4,0.24768592942125339,4
115,3021,182.40506481946827,12,185.2633002667246,4,0.56281358866249798,4
115,3021,196,7.1215713319817517,202.52756947182388,4,0.3325587830726312,4
115,3021,226.37795114102829,12,227.54636157863146,4,0.76531807667717577,4
115,3021,28,14.999999999999998,36,14.999999999999996,0.53125,4
115,3021,44,14.199999999999999,52,15.963559964576,0.32043151505406553,4
115,3021,52,16.399999999999999,60,16.399999999999999,0.5,4
115,3021,60,16.399999999999999,68,16.399999999999999,0.4375,4
115,3021,68,14.481851753638615,76,14.206906484594054,0.37477872656549271,4
115,3021,76,15.723591440773651,84,17.419230590893996,0.45856272167720186,4
115,3021,92,17.807195711670957,100,17.58663546796361,0.49200054909160212,4
115,3021,140,16.83049114105318,145.2239328001568,12,0.35137071372271228,4
115,3021,153.62977819157268,20,164,15.299999999999999,0.21134183458285297,4
115,3021,164,18.976865152441896,172,19.0649743453897,0.40622536308398932,4
115,3021,225.26394191222491,20,226.52640672212809,12,0.79870961742378044,4
115,3021,116.34711509352614,20,124,23.692050866376523,0.33467954535708649,4
115,3021,141.09999999999999,28,141.40000000000003,20,0.40986816269321857,4
115,3021,154.96953216506336,20,155.23773106848515,28,0.80813973676671902,4
115,3021,182.87580550279176,20,182.92958460981293,28,0.40624082098967224,4
115,3021,223.54555417387942,28,224.76782673681731,20,0.76456536285093246,4
115,3021,121.65203563110231,28,122.08870950558342,36,0.23402662531269039,4
115,3021,180.79378945109335,36,183.05099241477762,28,0.30075773631028485,4
115,3021,188,33.616770855460643,196,34.001947339328446,0.46820762885734346,4
115,3021,38.886459561008223,36,39.260937963931092,44,0.56188474787963205,4
115,3021,118.90000000000006,44,121.10000000000005,36,0.22598563893838847,4
115,3021,196,34.234229230187076,204,37.940710513203825,0.34025503724890666,4
115,3021,204,36.182155568704985,212,37.442999549601225,0.43216553675979458,4
115,3021,212,36.842607763877709,220,37.523356828157524,0.29969816094532709,4
115,3021,221.70000000000007,36,223.60000000000002,44,0.2128298704699042,4
115,3021,228,41.185776101103471,236,43.126967703215826,0.51626879453434227,4
115,3021,36.603148517521269,44,37.008883408614913,52,0.66711132912037552,4
115,3021,181.48450991531939,52,181.54861254105003,44,0.24608585010461015,4
115,3021,197.2482997147923,52,198.50000000000003,44,0.37821108796414865,4
115,3021,218.10000000000005,52,218.83441670776645,44,0.49012653222704361,4
115,3021,36.29999999999999,52,36.29999999999999,60,0.84375,4
115,3021,145.00000000000006,52,146.40000000000009,60,0.24240984152659892,4
115,3021,151.54904148184866,52,154.69048161258334,60,0.20361416100698237,2
115,3021,156,52.601317361100548,164,52.385994634672656,0.49981898944928416,4
115,3021,188,58.656987969650629,196,58.600000000000009,0.37499048582492761,4
115,3021,217.86412536336076,52,218.70182371871559,60,0.87412705982358296,4
115,3021,234.46499387694683,52,235.9350183300844,60,0.34961533679749246,4
115,3021,35.015593682173318,60,35.188768519639581,68,0.7381083365201212,4
115,3021,115.40000000000003,68,115.40000000000003,60,0.7734375,4
115,3021,146.15663376089574,60,148.23775363668022,68,0.20414309874978617,4
115,3021,164,67.403395508437612,172,65.835799827309557,0.27600121120839083,4
115,3021,172,66.705895024695053,180,65.13871967951809,0.24150345397634485,4
115,3021,217.82510133633377,68,219.64341234590623,60,0.45709193087300193,4
115,3021,228,65.749400186081857,236,66.348227342291835,0.24540719831952398,4
115,3021,92,74.293284507174121,100,74.595260806281871,0.52696846107079232,4
115,3021,108,75.45929605769885,116,76.481828406310399,0.21698473335200588,4
115,3021,132,69.099999999999994,140,68.799999999999983,0.2107893408136553,4
115,3021,220,71.838454263913903,228,74.518767314700895,0.385205011538375,4
115,3021,4,82.900000000000006,19.729813008298382,76,0.21286175035235022,4
115,3021,12,81.051353528060801,20,79.349415522963582,0.51962128209928549,4
115,3021,20,79.359681723449498,28,81.009014574542448,0.55091363640282165,4
115,3021,28,79.712134049723133,36,80.601489199609233,0.8735250369012314,4
115,3021,36,80.450187560664091,44,80.473417433058941,0.8437464429111099,4
115,3021,44,79.43966090802391,52,78.148300137333891,0.34706987331165801,4
115,3021,57.872100458277032,76,61.75660597653809,84,0.33733558810134406,4
115,3021,100,76,108,76,0.6328125,4
115,3021,112.17601437967588,76,116.22098744765862,84,0.24401875924217828,4
115,3021,140,80.399999999999977,148,81.800000000000011,0.20777986416565622,4
115,3021,172,76.925138279211808,180,78.401060625973855,0.36877655069130433,2
115,3021,204,74.613217372738944,212,77.548735128607632,0.23103119722222448,4
115,3021,51.154071784527844,84,55.599999999999994,92,0.21510770289238149,4
115,3021,60.694831767143036,84,63.135216299387515,92,0.24659433602205708,4
115,3021,82.599999999999966,84,82.900000000000006,92,0.21078934081365527,4
115,3021,84,90.934291777937915,92,90.195906141706772,0.52511179061992419,4
115,3021,89.800000000000011,84,95.600000000000023,92,0.26565342673878323,4
115,3021,114.38388440032578,84,114.61359383194969,92,0.27332484841356852,4
115,3021,188,86.320016924000228,196,87.266508006803249,0.46550336062118164,4
115,3021,220,89.362682839784625,228,91.64192443788923,0.36064845752856106,4
115,3021,228,91.582042881108194,236,90.429920393465366,0.25517981373859833,4
115,3021,4,96.908557300548352,12,99.459268962799186,0.29773272342003076,4
115,3021,19.337915451377455,100,19.387734747113154,92,0.32811863773304961,4
115,3021,36,98.753375557895069,44,98.316772099716289,0.49145614855763753,4
115,3021,54.499999999999993,92,54.800000000000004,100,0.21859635343638328,4
115,3021,68,93.161144680605233,76,92.348537527742778,0.24483393432653547,4
115,3021,113.08056748081094,92,114.10000000000005,100,0.32549293766783782,4
115,3021,124,96.448085168904967,132,95.42346477091202,0.30996800569096933,4
115,3021,172,93.292420687632315,180,98.552296232022087,0.32313231144983284,4
115,3021,206.20967584010748,92,212,95.26762618783728,0.63922253824530406,4
115,3021,20,99.100017715836728,28,101.91002031317643,0.23218697886047901,4
115,3021,60,102.81460036453191,68,104.90734884955218,0.27209417978135081,4
115,3021,68,106.90000000000001,76,108.9553838093051,0.20430230860927057,4
115,3021,142.85582499329564,108,146.06179888145417,100,0.27919643011111617,2
115,3021,189.09999999999999,108,193.80000000000001,100,0.26270495873143268,4
115,3021,4,115.31824918280616,12,112.86410304936609,0.57137549817655597,4
115,3021,12,113.45101915659919,20,113.63786634144768,0.27336295069703154,4
115,3021,36,113.49999999999997,44,111.60000000000002,0.20522880366740762,4
115,3021,52,111.29999999999998,60,108.30000000000004,0.25602750949153624,4
115,3021,76,110.41640484416384,84,115.28372050637961,0.30034168278746365,4
115,3021,92,115.2965659990566,100,112.80361558785087,0.80554431278668037,4
115,3021,100,113.11851545244615,108,112.33342644201976,0.62978712148327209,4
115,3021,108,112.16968727921633,116,111.92407640883854,0.87849232575229297,4
115,3021,150.31872762532748,116,153.26908110837732,108,0.41047540725797343,4
115,3021,156,111.29999999999998,164,114.65253692543789,0.40350143435146479,4
115,3021,172,115.61477654593905,180,115.03609487800622,0.45584024069790924,4
115,3021,180,113.49999999999997,188,110.50000000000003,0.38404126423730434,4
115,3021,188,108,196,116,0.24306795603287568,4
115,3021,214.80000000000007,116,217.3000000000001,108,0.39148592849092972,4
115,3021,52,120.52242092312414,60,119.74877205820991,0.21773423629079025,4
115,3021,76,117.40000000000003,84,115.15252805858121,0.26324653669460552,4
115,3021,124,120.9292552078325,132,119.31861801407392,0.41357638241652217,4
115,3021,132,117.48922985825328,140,117.37544713325528,0.56244311479408471,4
115,3021,147.08774004909026,124,149.78735108773353,116,0.53297225780642532,4
115,3021,213.09999999999999,124,215.60000000000002,116,0.20133562036676389,4
115,3021,12,131.7716667357829,16.684863136042189,132,0.90610142417702244,4
115,3021,30.188023646393269,132,31.993065671826297,124,0.20576487301879634,2
115,3021,55.700000000000131,132,60.400000000000176,124,0.48499376996572102,4
115,3021,143.93957470788666,132,146.18397884315957,124,0.74468594278508582,4
115,3021,189.88425658801475,124,190.51574951550089,132,0.25701302075698551,4
115,3021,208.76374816546706,132,210.08173404990089,124,0.20813185479947582,4
115,3021,4,136.44454450623641,12,134.53548444151855,0.2051764460008009,4
115,3021,39.253895590768558,132,44,134.86919800267194,0.45077761807561006,4
115,3021,52.846077967943138,140,55.236146262705404,132,0.44913424316439254,4
115,3021,59.429498625519706,140,61.213663905513613,132,0.20587958810981469,4
115,3021,68,138.61829771969059,72.60472905869932,132,0.23255547755721928,2
115,3021,141.54637433490302,140,144.22503456039038,132,0.53339397138941536,4
115,3021,190.80000000000007,132,193.00000000000006,140,0.5724969519772507,4
115,3021,209.59151295812265,140,212.2319437424562,132,0.20772793795644612,4
115,3021,220,135.32187114294422,228,138.8155091144836,0.51548892297217208,4
115,3021,228,138.59999999999997,236,139.74875352792341,0.27066131541610411,4
115,3021,51.300000000000125,148,51.852802015131516,140,0.23381744376443445,4
115,3021,59.4906370283841,140,59.707642871337015,148,0.28114658445377,4
115,3021,84.073841096531496,148,86.117226220129297,140,0.23843864835696393,4
115,3021,104.14150272006921,140,105.10508292405439,148,0.23269316743434448,4
115,3021,141.77456336808348,140,142.64105356878824,148,0.25631343465044493,4
115,3021,153.55644437655948,140,158.51619800080664,148,0.20915862527452123,4
115,3021,194.10000000000005,140,195.14116183472953,148,0.40285261105643688,4
115,3021,209.36316071294738,148,211.91965494233409,140,0.26046158919243051,4
115,3021,49.277400552997136,156,49.749658800952915,148,0.56152245131946166,4
115,3021,90.735292052063372,148,95.051674521965069,156,0.20626681067925623,4
115,3021,116,148.49910681827518,124,148.48819571757005,0.23437478200936432,4
115,3021,140,149.02499611925569,148,151.02499624213382,0.30316953019974247,4
115,3021,152.39999714275433,156,153.99999675373004,148,0.22982359801426494,4
115,3021,195.31079844134248,148,200.70000000000002,156,0.29157449158781573,4
115,3021,4,158.1907272442227,12,161.16392443854122,0.29292425469014216,4
115,3021,48.199999999999996,164,49.600000000000037,156,0.48481968305319767,4
115,3021,137.0360461695098,156,138.3807933151904,164,0.2311323782207754,4
115,3021,199.58117575376025,164,200.67689739546105,156,0.37153132711166148,4
115,3021,46.539782240750455,172,46.592326303966317,164,0.46873988968778008,4
115,3021,149.58449387486553,164,151.77009988608856,172,0.29014796683531263,4
115,3021,164,164.37403784529607,172,166.22750744249618,0.29301978162602665,4
115,3021,172,165.70155091077856,180,168.50141325593179,0.6968366657238052,4
115,3021,180,167.78831059011259,188,167.67215814753379,0.7811676681074653,4
115,3021,188,168.80000000000001,196,166.60000000000002,0.24858420283222729,4
115,3021,196.47288087303937,172,198.2871517382242,164,0.33523730061189622,4
